Node_ID,Centroide,UF
17076,Rio Verde de Mato Grosso,MS
17077,São Gabriel do Oeste,MS
17078,Coxim,MS
17079,Pedro Gomes,MS
17080,Sonora,MS
17081,Itaipulândia,PR
17082,Santa Helena,PR
17083,Missal,PR
17084,Ramilândia,PR
17085,Diamante D'Oeste,PR
17086,Entre Rios do Oeste,PR
17087,São José das Palmeiras,PR
17088,Pato Bragado,PR
17089,Mercedes,PR
17090,Marechal Cândido Rondon,PR
17091,Terra Roxa,PR
17092,Vera Cruz do Oeste,PR
17093,Céu Azul,PR
17094,São Pedro do Iguaçu,PR
17095,Ouro Verde do Oeste,PR
17096,Toledo,PR
17097,Santa Tereza do Oeste,PR
17098,Quatro Pontes,PR
17099,Nova Santa Rosa,PR
17100,Maripá,PR
17101,Palotina,PR
17102,Tupãssi,PR
17103,Assis Chateaubriand,PR
17104,Brasilândia do Sul,PR
17105,Japorã,MS
17106,Mundo Novo,MS
17107,Eldorado,MS
17108,Guaíra,PR
17109,Itaquiraí,MS
17110,Altônia,PR
17111,Francisco Alves,PR
17112,São Jorge do Patrocínio,PR
17113,Esperança Nova,PR
17114,Iporã,PR
17115,Cafezal do Sul,PR
17116,Pérola,PR
17117,Xambrê,PR
17118,Vila Alta,PR
17119,Icaraíma,PR
17120,Querência do Norte,PR
17121,Cascavel,PR
17122,Corbélia,PR
17123,Ibema,PR
17124,Campo Bonito,PR
17125,Braganey,PR
17126,Anahy,PR
17127,Iguatu,PR
17128,Jesuítas,PR
17129,Iracema do Oeste,PR
17130,Cafelândia,PR
17131,Nova Aurora,PR
17132,Formosa do Oeste,PR
17133,Ubiratã,PR
17134,Quarto Centenário,PR
17135,Goioerê,PR
17136,Guaraniaçu,PR
17137,Altamira do Paraná,PR
17138,Diamante do Sul,PR
17139,Nova Cantu,PR
17140,Laranjal,PR
17141,Juranda,PR
17142,Campina da Lagoa,PR
17143,Rancho Alegre D'Oeste,PR
17144,Boa Esperança,PR
17145,Janiópolis,PR
17146,Mamborê,PR
17147,Alto Piquiri,PR
17148,Perobal,PR
17149,Umuarama,PR
17150,Mariluz,PR
17151,Moreira Sales,PR
17152,Maria Helena,PR
17153,Cruzeiro do Oeste,PR
17154,Ivaté,PR
17155,Douradina,PR
17156,Nova Olímpia,PR
17157,Santa Mônica,PR
17158,Tapira,PR
17159,Tuneiras do Oeste,PR
17160,Tapejara,PR
17161,Farol,PR
17162,Araruna,PR
17163,Cianorte,PR
17164,Terra Boa,PR
17165,Jussara,PR
17166,Cidade Gaúcha,PR
17167,Indianópolis,PR
17168,Rondon,PR
17169,Guaporema,PR
17170,Mirador,PR
17171,Amaporã,PR
17172,São Tomé,PR
17173,São Manoel do Paraná,PR
17174,Japurá,PR
17175,Paraíso do Norte,PR
17176,Nova Aliança do Ivaí,PR
17177,São Carlos do Ivaí,PR
17178,Tamboara,PR
17179,Paranavaí,PR
17180,Naviraí,MS
17181,Fátima do Sul,MS
17182,Vicentina,MS
17183,Jateí,MS
